Comment,Sentiment
"Can this actually happen? Wouldn't revision have to have _number 0, so the previous comparison would be false?",Neutral
I suggest to add a wrapper class like \F3\FLOW3\Persistence\ObjectStorage and keep the API attach() and detach() stable.,Neutral
"This is more like an invalid option, not out of memory.",Negative
You might even want to change (de)allocations in this source to use gf_*() routines (as a part of this patch or separately).,Neutral
This || breaks -e. If you need this information you need to reimplement -e yourself.  if ! go build -a std; then     failed=true     if $sete; then         exit 1     fi fi,Neutral
This comment doesn't sound right.  This if statement should be removed as lapd_handle should already be populated.,Negative
"I keep finding myself wanting to click on the link that says ""Click image to edit"". Can we make that part of the link?",Neutral
"The Slerp I was thinking of, http://en.wikipedia.org/wiki/Slerp doesn't seem to be in all caps - is this something else? It does say somewhere to avoid acronyms but there are exceptions (this may be one of them).",Neutral
"For the current situation: core plugins are developed by core team, experimental - developed by PI and Mos-Engineering teams.  In the future: core plugins - certified by Mirantis, experimental - verified by Mirantis, and thirdparty - other plugins.",Neutral
"I suppose this is readable, but it's a lot of boilerplate compared to having a single callback each for comments/drafts with the if in the body.",Neutral
"Not all build tools use -j. Thus the simpler approach of directly setting build_cmd=""make -j2""/""jom -j4"" might be better.",Neutral
"as noted in patch set 2, message should be: CANNOT REMOVE STORAGE POOL WITH NON MASTER DOMAINS or something.",Neutral
I think the cleanest style here would be to make this: class_linker->IsCompiledImageMethod(m) and then embed MayBe... into ClassLinker as IsCompiledImageMethod. It'd be nice to avoid exposing the debugger to inner notions of oat files.,Neutral
Instead of putting everything in the collector and then looping through later when outputFormat==JSON why not switch here on outputFormat and thus allow results to be printed immediately for JSON and collected only for JSON_SINGLE?,Neutral
This condition is always true. I assume the condition you meant was n != ptrSize. Though I see you removed this condition altogether in CL 9704 (rebase failure?).,Neutral
"unrelated, but 'children and whose children' ain't english ;)",Negative
"actually I don't know why it is like this in the login but not in the logout.. I would assume it should be the same in both places, and that this one is the more robust one..",Negative
OK. I agree there's a sense that the state of the machine is not const.,Neutral
"same as above, aStr += m_sFormula.copy(nFml, nStt-nFml)",Neutral
"we might want to support Z here, since that's coming in a day or two",Neutral
"Just a question: Does ant use ; as a path separator on all platforms, or should you use File.pathSeparator (which will be : on Windows) ?",Neutral
"I think should this be translated(m_xOffset, m_yOffset) instead, because adjusted(x1,y1,x2,y2) will make the rectangle grow",Neutral
Is this just a bad formatting here (or is clang-format to blame)? I would prefer to put the name and type on a single line in that case. Separating the * seems wrong in a lot of ways.,Negative
"Nope, forgot to cherry-pick that one. Thanks for noticing, fixed.",Neutral
Do you need to check $result['edit']['result'] === 'Success'?,Neutral
"I do not like (long) very much, but that is something in the inode_ctx API :-/  Maybe I find the courage one day to make it a (void*) instead.",Negative
"It's in the debug code below, but I'd add a comment here saying something like      // n = (p - base) / s.elemsize, using division by modular multiplication",Neutral
"From what I can gather, AsciiDoc should be camel-case http://en.wikipedia.org/wiki/AsciiDoc",Neutral
"I suggested to add aliases = {""-#tag""} in this comment:    https://gerrit-review.googlesource.com/#/c/60106/8/gerrit-server/   src/main/java/com/google/gerrit/server/git/ReceiveCommits.java@1155",Neutral
Your memory is too smalll. Consider buying a RAM. :D,Neutral
This is what I figured even if we define a column type as integer it is still allowed by sqlalchemy to have strings! This allowed user_id to be stored as string regardless of its definition.Things would fail when we have LDAP and a regular DB like postgres. However this is present in other models like tokens where user_id is defined as Integer.So this all together should be a separate issue.,Neutral
could this moved to config.h instead of having it on the command line?,Neutral
"change this to /srv/deployment/mathoid/mathoid  the duplicate mathoid is so if you have any other repos (eventually) or a temp dir, or an output dir, it can all be in the same place",Neutral
"yes, I know see you have fixed almost all places. thanks.",Neutral
s/Test/test/  keep all lowercase (or make it a real sentence and end in period).,Neutral
"Nit: While assimulating is a word that seem to exist, my only association was that it was a misspelling of assimilate. This leads me to believe that it's a word that non-native English readers might have trouble interpreting the right nuance of. This is the commit message however, so in this case it isn't the end of the world, not many will read it compared to the actual guide. :)",Neutral
"It is a core class, why should it be independent from core usage?  ""If you just assign an end date you have to jump in the source code to become an idea how the start date is resolved.""  This can be written into the function comment, so if we may change $GLOBALS['EXEC_TIME'] we do not need to change so much calls.",Negative
"We need refresh freq_demote = defrag->tier_demote_frequency; here, otherwise we won't be able to change the frequency from the CLI.",Neutral
