"Comment","Sentiment"
"Committed. Thanks Ning","Positive"
"Sorry I meant ZOOKEEPER-1239.","Negative"
"Hi  Ted  Matteo  Thanks for the review. The commands.rb has some existing logic that tries to 'rescue' some exceptions. It will get more and more difficult to keep it generic artificially as we evolve and add more ... The approach to expand (instead of shrink) this logic is not a bad or ugly one ...  But your suggested solution is fine.  ","Positive"
"Thanks to both of you  and to Deepesh for the initiative. ","Positive"
"I just committed this. thanks steven!","Positive"
"Thanks  Willem. Sorry  I was trying to get to the wiki but it's been a busy week. ","Positive"
"Created an attachment (id=12544) mimeInput.eml for this test case ","Neutral"
"Thanks Jimmy.","Positive"
"This bug is fixed in 2.7  closing it down per the request by the reporter  Anuj Gupta.","Neutral"
"add keyword [PATCH] to description.","Neutral"
"Hi Charles  thanks for the confirmation... We will chat with Willem  I'm off today but will work for a couple of days this week... Sergey  ","Positive"
"Aha   thanks for the information. That makes sense. Glad to hear that it helped! :)","Positive"
"We can't upgrade to maven-assembly-plugin 2.3 as it breaks the build on MacOS  due to https://jira.codehaus.org/browse/MASSEMBLY-588.","Neutral"
"it belongs to faces 1.2 :)","Positive"
"Sorry for the noise..","Negative"
"It was my mistake.","Negative"
"I just committed this to trunk and branch-0.23. Thanks Arun!","Positive"
"Sorry  I thought issue (and provided patch) were about cocoon-servlet-service-impl  used by either C2.2 and C3 but only now I see that instead they are related to cocoon-servlet-service-components (C2.2 only).","Negative"
"Good idea especially if you have a use case for that.","Positive"
"Thanks for fixing it!","Positive"
"patch attached.","Neutral"
"I think we are very close too.","Positive"
":)  I've renamed ComponentColorProperty to be ComponentColorElement and RelationshipAggregation to TwistieAggregation.","Positive"
"Committed to trunk. Thanks  Teddy!","Positive"
"My misunderstanding.","Negative"
"Honestly  there is no way around this issue - of course we must discuss and come to some solution regarding Lucene/Solr at this point.","Negative"
"Sorry Chris   I missed it, done !","Negative"
"@Ashutosh: thanks a lot for the comments.","Positive"
"Thanks Imran.  Fixed in LUNI module at repo revision r568966.  Please check it was fixed as you expected. ","Positive"
"(I could not get what KEYWORD means.)","Negative"
"Sorry  missed that select-box.","Negative"
"Hi Mike   Do you know how to get the virtual machine file? The link to download from the rcmes web site is broken.  Thanks.   ----------------------------------------------------------------------------------------------------- Jinwon Kim Dept. Atmospheric and Oceanic Sciences and Joint Institute for Regional Earth System Science and Engineering University of California, Los Angeles Los Angeles, CA 90095-1565 ","Positive"
"Well  since you didn't respond to my request I finally did without and checked out what you did.  First of all looking at CIncludeTransformer I have to say that I don't understand why it is doing its own caching. Caching should be the concern of pipelines and sources. If you want preemptive loading of cached content this would much better be implemented as a Source wrapper. In fact we now have such a class in the scratchpad area.  One unpleasant implication of the current design is that as an unsuspecting user of this class, when you turn on caching in this transformer, the cached contents of any included cocoon:// source that identifies a caching pipeline would be cached twice! Once by the pipeline itself and once by the CIncludeTransformer.  Now concerning your patch. I don't quite understand why you retain the validity of the cached contents. The algorithm the caching pipeline uses to determine the validity of the cached contents is as follows: first it looks at the validity of the cached pipeline contents itself, then if the validity by itself indicates it needs a current validity to check against then the pipeline contructs a pipeline validity by calling the participating components' getValidity() methods. If your component now returns the same validity object that you previously returned then that does not make much sense to me.  Since I really needed this functionality myself and I didn't have enough time to discuss and refactor the CIncludeTransformer I implemented my own very basic IncludeTransformer that does exactly what I need, no more no less. I'll post it here if anyone want to use it.  I also looked at the XIncludeTransformer to see if I could implement caching in that one instead. But it seems that the XIncludeTransformer reads included content from URL objects instead of from Source objects.","Neutral"
"Hi Marco   I changed the name of patch because it was made in Java earliar, sorry for inconvenience.","Negative"
"Looks good to me. Works for me   too. :-) ","Positive"
"You are missing my point  sorry   By 'check in normally' I mean just commit them using 'svn add ...' 'svn commit ..' not 'svn import' you cant do that.  people.apache.org was down for a while, but is now back ,that however is not related as you dont need to access people.apache.org to commit to svn. ","Negative"
"I just committed this to Trunk. Thanks!  NOTE: made some slight changes to patch to apply correctly to Trunk.","Positive"
"Sorry Gav DONE Committed @revision 2487.","Negative"
"It's hard to say. I lost 5 nodes in about an hour  but I don't know how many I lost last time","Neutral"
"This is a great suggestion.","Positive"
"Here is the curent state. It is the samples/servlet/src/script/share build.xml. It work for tomcat5x (it is hard coded). The test are passe but I need to remove TestSampleFilter.java, TestFilterHttpHeaders.java and TestBasicAuthentication.java from the test execution. I don't know why they failed but continu to look at this.  Nicolas,","Neutral"
"I just committed this. Thanks Nicholas!","Positive"
"This looks like a fine approach to me. Thanks for putting the patch together. +1. ","Positive"
"I'm sorry.","Negative"
"Sorry.","Negative"
"Thanks for the work Haohui! I've committed it to branch-1.","Positive"
"Red color isn't really important  it was just a suggestion to be more homogeneous ... but that can be revisited in a different jira. I agree an option is a good idea for automatically acknowledging hosts.  Not sure what the default should be: the current behavior is obviously to not confirm, so we could keep that one, or go for a safer one, I don't have any strong opinion on that.","Positive"
"Hey  thanks for that  I gave it some testing and thought about it over the weekend and it looks perfect  thanks!  - Aidan","Positive"
"This doesn't exactly seem fixed to me. First of all  I can't make this work on an actual RELEASED version of the plugin. Second  I can't even get the most recent snapshot to work at all. The POM includes all sorts of noise that just shouldn't be required  per Chris's point. Can this issue get some attention? I'm fairly certain this plugin just flat out doesn't work in its current state.","Neutral"
"a patch is attached to camel-606 also address this issue.","Neutral"
